statefip,Mean_Index,year_anes,state_anes,Join_year,Trump_2015,value,Explicit_value,hate_crimes_per_100000,Value,state
0,-0.5723589992561582,2000,NA,2000,0,NA,NA,0,-0.5723589992561582,NA
1,0.5777772150305708,1994,alabama,1994,0,NA,NA,0,0.5777772150305708,Alabama
1,0.270465686874593,1998,alabama,1998,0,NA,NA,0,0.270465686874593,Alabama
1,0.07787800029989907,2000,alabama,2000,0,NA,NA,0,0.07787800029989907,Alabama
1,-0.13084889861726767,2002,alabama,2002,0,NA,NA,0,-0.13084889861726767,Alabama
1,0.05108785340879095,2004,alabama,2004,0,0.49017541477305987,NA,0,0.5412632681818508,Alabama
1,0.28285772689384386,2008,alabama,2008,0,0.4654205158509518,4.053134796238244,0,0.7482782427447956,Alabama
1,0.032097025093139,2012,alabama,2012,0,0.42457502766720157,4.116163431583992,0,0.45667205276034056,Alabama
1,0.2885005308311814,2016,alabama,2016,1,0.34883920367091764,4.199333917616126,0,0.637339734502099,Alabama
1,-0.23956048122865364,2020,alabama,2020,1,0.3514955898498146,3.9098601494169096,0,0.11193510862116096,Alabama
2,0.7816373376686946,2012,alaska,2012,0,0.3867361260605242,4.148467432950191,0.14005896482419097,1.30843242855341,Alaska
2,-1.2021954975560334,2016,alaska,2016,1,0.26257882435029106,4.073419611747138,0.14005896482419097,-0.7995577083815513,Alaska
2,-0.2407059639195088,2020,alaska,2020,1,0.21942529202982963,3.8942901234567904,0,-0.021280671889679165,Alaska
4,0.5473845185648166,1994,arizona,1994,0,NA,NA,0.4106383811649482,0.9580228997297648,Arizona
4,-0.09166104302862789,2000,arizona,2000,0,NA,NA,0.1947908637630751,0.10312982073444722,Arizona
4,0.39749792747372237,2002,arizona,2002,0,NA,NA,0.17531177738676756,0.5728097048604899,Arizona
4,0.2783766767083112,2008,arizona,2008,0,0.3602752396467478,3.954466671135412,0.2142699501393826,0.8529218664944416,Arizona
4,0.5149670738778008,2012,arizona,2012,0,0.3411859039701375,3.875605087132547,0.06236613693389672,0.918519114781835,Arizona
4,0.08574627001178577,2016,arizona,2016,1,0.26268751620968556,3.788912286313395,0.0779576711673709,0.4263914573888422,Arizona
